Volt,Frequency,S21,S31
5,732.72,-0.960,-17.260
5,738,-0.908,-17.684
5,743.27,-0.832,-17.996
5,748.54,-0.820,-18.100
5,753.81,-0.820,-17.836
5,759.09,-0.852,-17.684
5,764.36,-0.824,-17.416
5,769.63,-0.872,-17.064
5,774.9,-0.960,-16.768
5,780.18,-0.968,-16.640
5,785.45,-1.020,-16.404
5,790.72,-1.068,-16.152
5,796,-1.124,-15.964
5,801.27,-1.124,-15.856
5,806.54,-1.152,-15.632
5,811.81,-1.136,-15.456
5,817.09,-1.144,-15.288
5,822.36,-1.144,-15.260
5,827.63,-1.120,-15.084
5,832.9,-1.072,-14.856
5,838.18,-1.068,-14.824
5,843.45,-1.032,-14.592
5,848.72,-0.932,-14.392
5,854,-0.920,-14.252
5,859.27,-0.912,-14.164
5,864.54,-0.820,-13.924
5,869.81,-0.836,-13.884
5,875.09,-0.812,-13.696
5,880.36,-0.732,-13.580
5,885.63,-0.736,-13.472
5,890.9,-0.736,-13.364
5,896.18,-0.796,-13.340
5,901.45,-0.828,-13.320
5,906.72,-0.832,-13.148
5,912,-0.844,-13.044
5,917.27,-0.836,-12.960
5,922.54,-0.892,-12.948
5,927.81,-0.888,-12.832
5,933.09,-0.888,-12.772
5,938.36,-0.852,-12.676
5,943.63,-0.876,-12.640
5,948.9,-0.904,-12.588
5,954.18,-0.908,-12.564
5,959.45,-0.988,-12.580
5,964.72,-1.016,-12.400
5,970,-1.024,-12.316
5,975.27,-1.124,-12.372
5,980.54,-1.128,-12.312
5,985.81,-1.176,-12.404
5,991.09,-1.156,-12.432
5,996.36,-1.208,-12.660
6,500.72,-0.664,-28.584
6,506,-0.676,-27.860
6,511.27,-0.688,-27.184
6,516.54,-0.764,-26.364
6,521.81,-0.776,-25.540
6,527.09,-0.824,-24.884
6,532.36,-0.884,-24.064
6,537.63,-0.896,-23.568
6,542.9,-0.960,-23.016
6,548.18,-1.004,-22.464
6,553.45,-0.980,-21.948
6,558.72,-1.024,-21.540
6,564,-1.032,-21.300
6,569.27,-1.008,-20.976
6,574.54,-1,-20.688
6,579.81,-0.960,-20.352
6,585.09,-0.916,-19.848
6,590.36,-0.860,-19.564
6,595.63,-0.824,-19.280
6,600.9,-0.768,-18.920
6,606.18,-0.704,-18.640
6,611.45,-0.688,-18.404
6,616.72,-0.640,-18.132
6,0.622,-0.596,-17.980
6,627.27,-0.596,-17.752
6,632.54,-0.564,-17.528
6,637.81,-0.580,-17.320
6,643.09,-0.612,-17.168
6,648.36,-0.596,-17.116
6,653.63,-0.624,-16.808
6,658.9,-0.656,-16.704
6,664.18,-0.680,-16.536
6,669.45,-0.660,-16.220
6,674.72,-0.720,-16.132
6,680,-0.716,-15.828
6,685.27,-0.744,-15.716
6,690.54,-0.788,-15.452
6,695.81,-0.840,-15.376
6,701.09,-0.900,-15.284
6,706.36,-0.912,-15.436
6,711.63,-0.932,-15.808
6,716.9,-0.936,-16.500
6,722.18,-0.912,-17.236
6,727.45,-0.868,-17.968
6,732.72,-0.868,-18.736
6,738,-0.828,-19.360
6,743.27,-0.764,-19.796
6,748.54,-0.772,-19.868
6,753.81,-0.764,-19.728
6,759.09,-0.780,-19.488
